resume_text,skills,num_skills,years_experience,education,has_projects,has_certifications,num_sections,resume_score,role
"PROFILE
UI/UX Designer candidate with a strong foundation in usability testing, design systems, wireframing. Passionate about prototyping and continuous learning.

EDUCATION
Diploma degree, relevant coursework in user research.

CORE COMPETENCIES
wireframing, usability testing, prototyping, sql, prometheus, design systems

PERSONAL PROJECTS
Campus Utility App
Applied usability testing to analyze data and design systems to build the final solution, presenting results to peers.

Personal Portfolio System
Applied usability testing to analyze data and design systems to build the final solution, presenting results to peers.

CERTIFICATES
Relevant certification related to wireframing.","wireframing, usability testing, prototyping, sql, prometheus, design systems",6,1.1,Diploma,1,1,5,47.0,UI/UX Designer
"EDUCATION
Masters degree, relevant coursework in linux.

SKILLS
aws, terraform, docker, python, computer vision, ci/cd, kubernetes, cloudformation, gcp, networking, linux

PROFESSIONAL EXPERIENCE
Cloud Engineer Intern, Northwind Software (0.5 yrs)
- Assisted senior engineers with tasks involving python and linux.
- Learned aws on the job through mentorship.

PROJECTS
Personal Portfolio System
Built using python and aws. Focused on solving a practical problem and deploying a working demo.

Personal Portfolio System
Applied python to analyze data and aws to build the final solution, presenting results to peers.","aws, terraform, docker, python, computer vision, ci/cd, kubernetes, cloudformation, gcp, networking, linux",11,0.3,Masters,1,0,4,68.3,Cloud Engineer
"EDUCATION
Bachelors degree, relevant coursework in git.

SKILLS
machine learning, nlp, docker, responsive design, pytorch, opencv, jenkins, computer vision, git, keras, python, sql, tensorflow, siem

ACADEMIC PROJECTS
Automation Toolkit
Built using tensorflow and python. Focused on solving a practical problem and deploying a working demo.","machine learning, nlp, docker, responsive design, pytorch, opencv, jenkins, computer vision, git, keras, python, sql, tensorflow, siem",14,2.5,Bachelors,1,0,3,80.0,AI Engineer
"PROFESSIONAL SUMMARY
Detail-oriented professional skilled in git and java, seeking a Software Engineer role. Completed coursework and internships involving linux and junit.

EDUCATION
PhD degree, relevant coursework in algorithms.

CORE COMPETENCIES
system design, data structures, git, linux, sql, python, junit, c++, algorithms, oop, rest api, java

PROJECTS
Campus Utility App
Applied git to analyze data and java to build the final solution, presenting results to peers.

Personal Portfolio System
Applied git to analyze data and java to build the final solution, presenting results to peers.","system design, data structures, git, linux, sql, python, junit, c++, algorithms, oop, rest api, java",12,0.6,PhD,1,0,4,83.0,Software Engineer
"PROFILE
Detail-oriented professional skilled in sql and matplotlib, seeking a Data Scientist role. Completed coursework and internships involving r and excel.

EDUCATION
Bachelors degree, relevant coursework in machine learning.

CORE COMPETENCIES
redux, excel, matplotlib, redis, numpy, r, sql

PROJECTS
Campus Utility App
Applied sql to analyze data and matplotlib to build the final solution, presenting results to peers.","redux, excel, matplotlib, redis, numpy, r, sql",7,1.9,Bachelors,1,0,4,38.6,Data Scientist
"PROFESSIONAL SUMMARY
Detail-oriented professional skilled in python and linux, seeking a Cybersecurity Analyst role. Completed coursework and internships involving network security and vulnerability assessment.

EDUCATION
PhD degree, relevant coursework in vulnerability assessment.

TECHNICAL SKILLS
linux, python, network security, vulnerability assessment

EXPERIENCE
Cybersecurity Analyst, Northwind Software (4.9 yrs)
- Built and maintained systems using python and linux.
- Collaborated with a small team to ship features on schedule.

ACADEMIC PROJECTS
Campus Utility App
Built using python and linux. Focused on solving a practical problem and deploying a working demo.

Mini Analytics Engine
Applied python to analyze data and linux to build the final solution, presenting results to peers.","linux, python, network security, vulnerability assessment",4,4.9,PhD,1,0,5,50.9,Cybersecurity Analyst
"SUMMARY
Motivated Cybersecurity Analyst with hands-on experience in siem, python and cryptography. Built projects applying incident response to solve real-world problems.

ACADEMIC BACKGROUND
Masters degree, relevant coursework in firewalls.

SKILLS
python, firewalls, linux, incident response, siem, vulnerability assessment, cryptography

EXPERIENCE
Cybersecurity Analyst, Skyline Systems (0.7 yrs)
- Built and maintained systems using siem and python.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Automation Toolkit
Built using siem and python. Focused on solving a practical problem and deploying a working demo.","python, firewalls, linux, incident response, siem, vulnerability assessment, cryptography",7,0.7,Masters,1,0,5,67.8,Cybersecurity Analyst
"PROFILE
Motivated AI Engineer with hands-on experience in git, sql and keras. Built projects applying pytorch to solve real-world problems.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in sql.

TECHNICAL SKILLS
keras, java, computer vision, pytorch, mongodb, sql, monitoring, git, tensorflow

WORK EXPERIENCE
AI Engineer Intern, Acme Solutions (1.9 yrs)
- Assisted senior engineers with tasks involving git and keras.
- Learned sql on the job through mentorship.

PERSONAL PROJECTS
Personal Portfolio System
Built using git and sql. Focused on solving a practical problem and deploying a working demo.","keras, java, computer vision, pytorch, mongodb, sql, monitoring, git, tensorflow",9,1.9,Bachelors,1,0,5,58.8,AI Engineer
"PROFILE
Data Scientist candidate with a strong foundation in machine learning, tableau, statistics. Passionate about numpy and continuous learning.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in r.

TECHNICAL SKILLS
python, deep learning, numpy, mysql, excel, machine learning, scikit-learn, statistics, pandas, r, matplotlib, tableau

WORK EXPERIENCE
Data Scientist, Vertex Digital (0.9 yrs)
- Built and maintained systems using machine learning and tableau.
- Collaborated with a small team to ship features on schedule.

PERSONAL PROJECTS
Personal Portfolio System
Applied machine learning to analyze data and tableau to build the final solution, presenting results to peers.

CERTIFICATIONS
Relevant certification related to sql.","python, deep learning, numpy, mysql, excel, machine learning, scikit-learn, statistics, pandas, r, matplotlib, tableau",12,0.9,Bachelors,1,1,6,71.8,Data Scientist
"OBJECTIVE
Detail-oriented professional skilled in git and responsive design, seeking a Frontend Developer role. Completed coursework and internships involving figma and react.

EDUCATION
Bachelors degree, relevant coursework in html.

TECHNICAL SKILLS
javascript, requirements gathering, git, html, responsive design, figma, react, numpy, linux

WORK EXPERIENCE
Frontend Developer, Skyline Systems (0.5 yrs)
- Built and maintained systems using git and responsive design.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Campus Utility App
Applied git to analyze data and responsive design to build the final solution, presenting results to peers.

Data Insights Dashboard
Built using git and responsive design. Focused on solving a practical problem and deploying a working demo.","javascript, requirements gathering, git, html, responsive design, figma, react, numpy, linux",9,0.0,Bachelors,1,0,5,42.0,Frontend Developer
"OBJECTIVE
Results-driven Frontend Developer with 0.0 years of practical exposure to git and html. Enjoys solving problems with react.

EDUCATION
Diploma degree, relevant coursework in redux.

CORE COMPETENCIES
stakeholder management, git, css, react, html, system design

PROFESSIONAL EXPERIENCE
Frontend Developer, NovaTech (0.5 yrs)
- Automated workflows involving git, reducing manual effort.
- Used html daily to support ongoing projects.

ACADEMIC PROJECTS
Personal Portfolio System
Built using git and html. Focused on solving a practical problem and deploying a working demo.","stakeholder management, git, css, react, html, system design",6,0.0,Diploma,1,0,5,32.2,Frontend Developer
"OBJECTIVE
Detail-oriented professional skilled in figma and css, seeking a UI/UX Designer role. Completed coursework and internships involving design systems and html.

ACADEMIC BACKGROUND
Masters degree, relevant coursework in sketch.

CORE COMPETENCIES
redis, html, user research, usability testing, design systems, css, figma

PROFESSIONAL EXPERIENCE
UI/UX Designer Intern, Northwind Software (0.6 yrs)
- Assisted senior engineers with tasks involving figma and design systems.
- Learned css on the job through mentorship.

PERSONAL PROJECTS
Automation Toolkit
Applied figma to analyze data and css to build the final solution, presenting results to peers.

CERTIFICATIONS
Relevant certification related to css.","redis, html, user research, usability testing, design systems, css, figma",7,0.6,Masters,1,1,6,66.5,UI/UX Designer
"OBJECTIVE
Database Administrator candidate with a strong foundation in oracle, mongodb, query optimization. Passionate about postgresql and continuous learning.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in indexing.

SKILLS
backup, oracle, vulnerability assessment, mongodb, query optimization, postgresql, computer vision

EXPERIENCE
Database Administrator, Skyline Systems (1.9 yrs)
- Built and maintained systems using oracle and mongodb.
- Collaborated with a small team to ship features on schedule.

PERSONAL PROJECTS
Data Insights Dashboard
Built using oracle and mongodb. Focused on solving a practical problem and deploying a working demo.

Campus Utility App
Built using oracle and mongodb. Focused on solving a practical problem and deploying a working demo.

CERTIFICATES
Relevant certification related to mysql.","backup, oracle, vulnerability assessment, mongodb, query optimization, postgresql, computer vision",7,1.9,Bachelors,1,1,6,51.8,Database Administrator
"SUMMARY
Results-driven Software Engineer with 2.8 years of practical exposure to rest api and linux. Enjoys solving problems with c++.

ACADEMIC BACKGROUND
PhD degree, relevant coursework in sql.

SKILLS
python, git, linux, oop, rest api, java, c++, system design, junit, sql, algorithms, redux

WORK EXPERIENCE
Software Engineer, Northwind Software (2.8 yrs)
- Built and maintained systems using rest api and linux.
- Collaborated with a small team to ship features on schedule.

PERSONAL PROJECTS
Personal Portfolio System
Applied rest api to analyze data and linux to build the final solution, presenting results to peers.","python, git, linux, oop, rest api, java, c++, system design, junit, sql, algorithms, redux",12,2.8,PhD,1,0,5,71.2,Software Engineer
"PROFESSIONAL SUMMARY
Results-driven Data Scientist with 4.7 years of practical exposure to scikit-learn and sql. Enjoys solving problems with excel.

EDUCATION
Bachelors degree, relevant coursework in numpy.

TECHNICAL SKILLS
excel, sql, machine learning, rest api, scikit-learn

ACADEMIC PROJECTS
Personal Portfolio System
Applied scikit-learn to analyze data and sql to build the final solution, presenting results to peers.","excel, sql, machine learning, rest api, scikit-learn",5,4.7,Bachelors,1,0,4,59.0,Data Scientist
"SUMMARY
Motivated Frontend Developer with hands-on experience in css, next.js and html. Built projects applying responsive design to solve real-world problems.

ACADEMIC BACKGROUND
Masters degree, relevant coursework in react.

CORE COMPETENCIES
opencv, responsive design, css, git, react, scikit-learn, html, next.js

ACADEMIC PROJECTS
Personal Portfolio System
Applied css to analyze data and next.js to build the final solution, presenting results to peers.","opencv, responsive design, css, git, react, scikit-learn, html, next.js",8,0.5,Masters,1,0,4,47.6,Frontend Developer
"SUMMARY
Cloud Engineer candidate with a strong foundation in python, cloudformation, aws. Passionate about ci/cd and continuous learning.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in python.

CORE COMPETENCIES
aws, ci/cd, cloudformation, python, terraform

PROJECTS
Campus Utility App
Built using python and cloudformation. Focused on solving a practical problem and deploying a working demo.

Campus Utility App
Applied python to analyze data and cloudformation to build the final solution, presenting results to peers.","aws, ci/cd, cloudformation, python, terraform",5,3.7,Bachelors,1,0,4,58.7,Cloud Engineer
"PROFILE
UI/UX Designer candidate with a strong foundation in prototyping, wireframing, figma. Passionate about user research and continuous learning.

EDUCATION
Masters degree, relevant coursework in design systems.

CORE COMPETENCIES
next.js, prototyping, docker, user research, figma, data analysis, wireframing, etl

EXPERIENCE
UI/UX Designer Intern, Acme Solutions (3.1 yrs)
- Assisted senior engineers with tasks involving prototyping and figma.
- Learned wireframing on the job through mentorship.

ACADEMIC PROJECTS
Mini Analytics Engine
Applied prototyping to analyze data and wireframing to build the final solution, presenting results to peers.

Mini Analytics Engine
Applied prototyping to analyze data and wireframing to build the final solution, presenting results to peers.","next.js, prototyping, docker, user research, figma, data analysis, wireframing, etl",8,3.1,Masters,1,0,5,48.1,UI/UX Designer
"ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in git.

TECHNICAL SKILLS
sql, linux, system design, data structures, c++, oop, git

WORK EXPERIENCE
Software Engineer, Skyline Systems (0.5 yrs)
- Automated workflows involving linux, reducing manual effort.
- Used sql daily to support ongoing projects.

ACADEMIC PROJECTS
Recommendation Prototype
Built using linux and sql. Focused on solving a practical problem and deploying a working demo.

Campus Utility App
Applied linux to analyze data and sql to build the final solution, presenting results to peers.","sql, linux, system design, data structures, c++, oop, git",7,0.4,Bachelors,1,0,4,54.7,Software Engineer
"PROFILE
Detail-oriented professional skilled in pandas and numpy, seeking a Data Scientist role. Completed coursework and internships involving sql and scikit-learn.

EDUCATION
Masters degree, relevant coursework in matplotlib.

TECHNICAL SKILLS
python, numpy, excel, tableau, sql, pandas, statistics, r, scikit-learn, power bi, etl, oop, algorithms, matplotlib, machine learning

PROFESSIONAL EXPERIENCE
Data Scientist Intern, Skyline Systems (0.9 yrs)
- Assisted senior engineers with tasks involving pandas and sql.
- Learned numpy on the job through mentorship.

ACADEMIC PROJECTS
Automation Toolkit
Applied pandas to analyze data and numpy to build the final solution, presenting results to peers.","python, numpy, excel, tableau, sql, pandas, statistics, r, scikit-learn, power bi, etl, oop, algorithms, matplotlib, machine learning",15,0.9,Masters,1,0,5,78.3,Data Scientist
"PROFESSIONAL SUMMARY
Frontend Developer candidate with a strong foundation in redux, react, webpack. Passionate about javascript and continuous learning.

EDUCATION
Bachelors degree, relevant coursework in html.

SKILLS
next.js, git, redux, javascript, html, network security, webpack, responsive design, react, backup, figma, css, typescript

PROFESSIONAL EXPERIENCE
Frontend Developer Intern, Quantum Analytics (12.4 yrs)
- Assisted senior engineers with tasks involving redux and webpack.
- Learned react on the job through mentorship.

ACADEMIC PROJECTS
Personal Portfolio System
Applied redux to analyze data and react to build the final solution, presenting results to peers.","next.js, git, redux, javascript, html, network security, webpack, responsive design, react, backup, figma, css, typescript",13,12.4,Bachelors,1,0,5,96.4,Frontend Developer
"PROFILE
Data Scientist candidate with a strong foundation in excel, scikit-learn, sql. Passionate about numpy and continuous learning.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in excel.

TECHNICAL SKILLS
scikit-learn, javascript, statistics, sql, numpy, rest api, excel, penetration testing

CERTIFICATES
Relevant certification related to python.","scikit-learn, javascript, statistics, sql, numpy, rest api, excel, penetration testing",8,2.2,Bachelors,0,1,4,42.7,Data Scientist
"OBJECTIVE
Detail-oriented professional skilled in excel and python, seeking a Data Scientist role. Completed coursework and internships involving power bi and numpy.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in excel.

CORE COMPETENCIES
python, sql, r, numpy, machine learning, statistics, scikit-learn, power bi, excel, pandas

EXPERIENCE
Data Scientist, Quantum Analytics (0.8 yrs)
- Built and maintained systems using excel and python.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Mini Analytics Engine
Applied excel to analyze data and python to build the final solution, presenting results to peers.","python, sql, r, numpy, machine learning, statistics, scikit-learn, power bi, excel, pandas",10,0.8,Bachelors,1,0,5,69.4,Data Scientist
"OBJECTIVE
Results-driven DevOps Engineer with 1.0 years of practical exposure to monitoring and jenkins. Enjoys solving problems with docker.

ACADEMIC BACKGROUND
Masters degree, relevant coursework in aws.

SKILLS
ci/cd, ansible, prometheus, monitoring, jenkins, linux, kubernetes, azure, next.js, docker

EXPERIENCE
DevOps Engineer, Vertex Digital (1.0 yrs)
- Built and maintained systems using monitoring and jenkins.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Data Insights Dashboard
Applied monitoring to analyze data and jenkins to build the final solution, presenting results to peers.

Campus Utility App
Built using monitoring and jenkins. Focused on solving a practical problem and deploying a working demo.","ci/cd, ansible, prometheus, monitoring, jenkins, linux, kubernetes, azure, next.js, docker",10,,,1,0,5,66.6,DevOps Engineer
"PROFILE
Frontend Developer candidate with a strong foundation in webpack, react, figma. Passionate about redux and continuous learning.

ACADEMIC BACKGROUND
Diploma degree, relevant coursework in webpack.

CORE COMPETENCIES
react, redux, figma, webpack

EXPERIENCE
Frontend Developer Intern, BrightPath Labs (0.5 yrs)
- Assisted senior engineers with tasks involving webpack and figma.
- Learned react on the job through mentorship.","react, redux, figma, webpack",4,,,0,0,4,26.3,Frontend Developer
