resume_text,skills,num_skills,years_experience,education,has_projects,has_certifications,num_sections,resume_score,role,clean_text,education_encoded,cluster
"OBJECTIVE
Detail-oriented professional skilled in power bi and matplotlib, seeking a Data Scientist role. Completed coursework and internships involving statistics and machine learning.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in scikit-learn.

CORE COMPETENCIES
usability testing, ci/cd, scikit-learn, pandas, statistics, excel, tableau, machine learning, python, jira, sql, r, power bi, matplotlib, gcp

WORK EXPERIENCE
Data Scientist Intern, Acme Solutions (0.5 yrs)
- Assisted senior engineers with tasks involving power bi and statistics.
- Learned matplotlib on the job through mentorship.

ACADEMIC PROJECTS
Recommendation Prototype
Built using power bi and matplotlib. Focused on solving a practical problem and deploying a working demo.

CERTIFICATIONS
Relevant certification related to matplotlib.","usability testing, ci/cd, scikit-learn, pandas, statistics, excel, tableau, machine learning, python, jira, sql, r, power bi, matplotlib, gcp",15,0.1,Bachelors,1,1,6,76.4,Data Scientist,objective detail oriented professional skilled power matplotlib seeking data scientist role completed coursework internship involving statistic machine learning academic background bachelor degree relevant coursework scikit learn core competency usability testing scikit learn panda statistic excel tableau machine learning python jira sql power matplotlib gcp work experience data scientist intern acme solution yr assisted senior engineer task involving power statistic learned matplotlib job mentorship academic project recommendation prototype built using power matplotlib focused solving practical problem deploying working demo certification relevant certification related matplotlib,1,4
"SUMMARY
Detail-oriented professional skilled in computer vision and opencv, seeking a AI Engineer role. Completed coursework and internships involving git and docker.

EDUCATION
Bachelors degree, relevant coursework in opencv.

SKILLS
git, machine learning, rest api, keras, opencv, sql, nlp, python, tensorflow, pytorch, computer vision, docker, deep learning","git, machine learning, rest api, keras, opencv, sql, nlp, python, tensorflow, pytorch, computer vision, docker, deep learning",13,0.5,Bachelors,0,0,3,60.2,AI Engineer,summary detail oriented professional skilled computer vision opencv seeking engineer role completed coursework internship involving git docker education bachelor degree relevant coursework opencv skill git machine learning rest api kera opencv sql nlp python tensorflow pytorch computer vision docker deep learning,1,1
"PROFILE
UI/UX Designer candidate with a strong foundation in usability testing, design systems, wireframing. Passionate about prototyping and continuous learning.

EDUCATION
Diploma degree, relevant coursework in user research.

CORE COMPETENCIES
wireframing, usability testing, prototyping, sql, prometheus, design systems

PERSONAL PROJECTS
Campus Utility App
Applied usability testing to analyze data and design systems to build the final solution, presenting results to peers.

Personal Portfolio System
Applied usability testing to analyze data and design systems to build the final solution, presenting results to peers.

CERTIFICATES
Relevant certification related to wireframing.","wireframing, usability testing, prototyping, sql, prometheus, design systems",6,1.1,Diploma,1,1,5,47.0,UI/UX Designer,profile designer candidate strong foundation usability testing design system wireframing passionate prototyping continuous learning education diploma degree relevant coursework user research core competency wireframing usability testing prototyping sql prometheus design system personal project campus utility app applied usability testing analyze data design system build final solution presenting result peer personal portfolio system applied usability testing analyze data design system build final solution presenting result peer certificate relevant certification related wireframing,0,4
"EDUCATION
Masters degree, relevant coursework in linux.

SKILLS
aws, terraform, docker, python, computer vision, ci/cd, kubernetes, cloudformation, gcp, networking, linux

PROFESSIONAL EXPERIENCE
Cloud Engineer Intern, Northwind Software (0.5 yrs)
- Assisted senior engineers with tasks involving python and linux.
- Learned aws on the job through mentorship.

PROJECTS
Personal Portfolio System
Built using python and aws. Focused on solving a practical problem and deploying a working demo.

Personal Portfolio System
Applied python to analyze data and aws to build the final solution, presenting results to peers.","aws, terraform, docker, python, computer vision, ci/cd, kubernetes, cloudformation, gcp, networking, linux",11,0.3,Masters,1,0,4,68.3,Cloud Engineer,education master degree relevant coursework linux skill aws terraform docker python computer vision kubernetes cloudformation gcp networking linux professional experience cloud engineer intern northwind software yr assisted senior engineer task involving python linux learned aws job mentorship project personal portfolio system built using python aws focused solving practical problem deploying working demo personal portfolio system applied python analyze data aws build final solution presenting result peer,2,0
"EDUCATION
Bachelors degree, relevant coursework in git.

SKILLS
machine learning, nlp, docker, responsive design, pytorch, opencv, jenkins, computer vision, git, keras, python, sql, tensorflow, siem

ACADEMIC PROJECTS
Automation Toolkit
Built using tensorflow and python. Focused on solving a practical problem and deploying a working demo.","machine learning, nlp, docker, responsive design, pytorch, opencv, jenkins, computer vision, git, keras, python, sql, tensorflow, siem",14,2.5,Bachelors,1,0,3,80.0,AI Engineer,education bachelor degree relevant coursework git skill machine learning nlp docker responsive design pytorch opencv jenkins computer vision git kera python sql tensorflow siem academic project automation toolkit built using tensorflow python focused solving practical problem deploying working demo,1,0
"PROFESSIONAL SUMMARY
Detail-oriented professional skilled in git and java, seeking a Software Engineer role. Completed coursework and internships involving linux and junit.

EDUCATION
PhD degree, relevant coursework in algorithms.

CORE COMPETENCIES
system design, data structures, git, linux, sql, python, junit, c++, algorithms, oop, rest api, java

PROJECTS
Campus Utility App
Applied git to analyze data and java to build the final solution, presenting results to peers.

Personal Portfolio System
Applied git to analyze data and java to build the final solution, presenting results to peers.","system design, data structures, git, linux, sql, python, junit, c++, algorithms, oop, rest api, java",12,0.6,PhD,1,0,4,83.0,Software Engineer,professional summary detail oriented professional skilled git java seeking software engineer role completed coursework internship involving linux junit education phd degree relevant coursework algorithm core competency system design data structure git linux sql python junit algorithm oop rest api java project campus utility app applied git analyze data java build final solution presenting result peer personal portfolio system applied git analyze data java build final solution presenting result peer,3,0
"PROFILE
Detail-oriented professional skilled in sql and matplotlib, seeking a Data Scientist role. Completed coursework and internships involving r and excel.

EDUCATION
Bachelors degree, relevant coursework in machine learning.

CORE COMPETENCIES
redux, excel, matplotlib, redis, numpy, r, sql

PROJECTS
Campus Utility App
Applied sql to analyze data and matplotlib to build the final solution, presenting results to peers.","redux, excel, matplotlib, redis, numpy, r, sql",7,1.9,Bachelors,1,0,4,38.6,Data Scientist,profile detail oriented professional skilled sql matplotlib seeking data scientist role completed coursework internship involving excel education bachelor degree relevant coursework machine learning core competency redux excel matplotlib redis numpy sql project campus utility app applied sql analyze data matplotlib build final solution presenting result peer,1,0
"PROFESSIONAL SUMMARY
Detail-oriented professional skilled in python and linux, seeking a Cybersecurity Analyst role. Completed coursework and internships involving network security and vulnerability assessment.

EDUCATION
PhD degree, relevant coursework in vulnerability assessment.

TECHNICAL SKILLS
linux, python, network security, vulnerability assessment

EXPERIENCE
Cybersecurity Analyst, Northwind Software (4.9 yrs)
- Built and maintained systems using python and linux.
- Collaborated with a small team to ship features on schedule.

ACADEMIC PROJECTS
Campus Utility App
Built using python and linux. Focused on solving a practical problem and deploying a working demo.

Mini Analytics Engine
Applied python to analyze data and linux to build the final solution, presenting results to peers.","linux, python, network security, vulnerability assessment",4,4.9,PhD,1,0,5,50.9,Cybersecurity Analyst,professional summary detail oriented professional skilled python linux seeking cybersecurity analyst role completed coursework internship involving network security vulnerability assessment education phd degree relevant coursework vulnerability assessment technical skill linux python network security vulnerability assessment experience cybersecurity analyst northwind software yr built maintained system using python linux collaborated small team ship feature schedule academic project campus utility app built using python linux focused solving practical problem deploying working demo mini analytics engine applied python analyze data linux build final solution presenting result peer,3,3
"SUMMARY
Motivated Cybersecurity Analyst with hands-on experience in siem, python and cryptography. Built projects applying incident response to solve real-world problems.

ACADEMIC BACKGROUND
Masters degree, relevant coursework in firewalls.

SKILLS
python, firewalls, linux, incident response, siem, vulnerability assessment, cryptography

EXPERIENCE
Cybersecurity Analyst, Skyline Systems (0.7 yrs)
- Built and maintained systems using siem and python.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Automation Toolkit
Built using siem and python. Focused on solving a practical problem and deploying a working demo.","python, firewalls, linux, incident response, siem, vulnerability assessment, cryptography",7,0.7,Masters,1,0,5,67.8,Cybersecurity Analyst,summary motivated cybersecurity analyst hand experience siem python cryptography built project applying incident response solve real world problem academic background master degree relevant coursework firewall skill python firewall linux incident response siem vulnerability assessment cryptography experience cybersecurity analyst skyline system yr built maintained system using siem python collaborated small team ship feature schedule project automation toolkit built using siem python focused solving practical problem deploying working demo,2,0
"PROFILE
Motivated AI Engineer with hands-on experience in git, sql and keras. Built projects applying pytorch to solve real-world problems.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in sql.

TECHNICAL SKILLS
keras, java, computer vision, pytorch, mongodb, sql, monitoring, git, tensorflow

WORK EXPERIENCE
AI Engineer Intern, Acme Solutions (1.9 yrs)
- Assisted senior engineers with tasks involving git and keras.
- Learned sql on the job through mentorship.

PERSONAL PROJECTS
Personal Portfolio System
Built using git and sql. Focused on solving a practical problem and deploying a working demo.","keras, java, computer vision, pytorch, mongodb, sql, monitoring, git, tensorflow",9,1.9,Bachelors,1,0,5,58.8,AI Engineer,profile motivated engineer hand experience git sql kera built project applying pytorch solve real world problem academic background bachelor degree relevant coursework sql technical skill kera java computer vision pytorch mongodb sql monitoring git tensorflow work experience engineer intern acme solution yr assisted senior engineer task involving git kera learned sql job mentorship personal project personal portfolio system built using git sql focused solving practical problem deploying working demo,1,0
"PROFILE
Data Scientist candidate with a strong foundation in machine learning, tableau, statistics. Passionate about numpy and continuous learning.

ACADEMIC BACKGROUND
Bachelors degree, relevant coursework in r.

TECHNICAL SKILLS
python, deep learning, numpy, mysql, excel, machine learning, scikit-learn, statistics, pandas, r, matplotlib, tableau

WORK EXPERIENCE
Data Scientist, Vertex Digital (0.9 yrs)
- Built and maintained systems using machine learning and tableau.
- Collaborated with a small team to ship features on schedule.

PERSONAL PROJECTS
Personal Portfolio System
Applied machine learning to analyze data and tableau to build the final solution, presenting results to peers.

CERTIFICATIONS
Relevant certification related to sql.","python, deep learning, numpy, mysql, excel, machine learning, scikit-learn, statistics, pandas, r, matplotlib, tableau",12,0.9,Bachelors,1,1,6,71.8,Data Scientist,profile data scientist candidate strong foundation machine learning tableau statistic passionate numpy continuous learning academic background bachelor degree relevant coursework technical skill python deep learning numpy mysql excel machine learning scikit learn statistic panda matplotlib tableau work experience data scientist vertex digital yr built maintained system using machine learning tableau collaborated small team ship feature schedule personal project personal portfolio system applied machine learning analyze data tableau build final solution presenting result peer certification relevant certification related sql,1,4
"OBJECTIVE
Detail-oriented professional skilled in git and responsive design, seeking a Frontend Developer role. Completed coursework and internships involving figma and react.

EDUCATION
Bachelors degree, relevant coursework in html.

TECHNICAL SKILLS
javascript, requirements gathering, git, html, responsive design, figma, react, numpy, linux

WORK EXPERIENCE
Frontend Developer, Skyline Systems (0.5 yrs)
- Built and maintained systems using git and responsive design.
- Collaborated with a small team to ship features on schedule.

PROJECTS
Campus Utility App
Applied git to analyze data and responsive design to build the final solution, presenting results to peers.

Data Insights Dashboard
Built using git and responsive design. Focused on solving a practical problem and deploying a working demo.","javascript, requirements gathering, git, html, responsive design, figma, react, numpy, linux",9,0.0,Bachelors,1,0,5,42.0,Frontend Developer,objective detail oriented professional skilled git responsive design seeking frontend developer role completed coursework internship involving figma react education bachelor degree relevant coursework html technical skill javascript requirement gathering git html responsive design figma react numpy linux work experience frontend developer skyline system yr built maintained system using git responsive design collaborated small team ship feature schedule project campus utility app applied git analyze data responsive design build final solution presenting result peer data insight dashboard built using git responsive design focused solving practical problem deploying working demo,1,0
